epoch,step,train_loss,val_iou,val_loss
0,3,,0.05869557335972786,0.7376101016998291
1,7,,0.43400898575782776,0.6817575097084045
2,9,0.7754542827606201,,
2,11,,0.5288509130477905,0.5792242884635925
3,15,,0.5698724389076233,0.5628080368041992
4,19,0.43610453605651855,,
4,19,,0.621778130531311,0.5470143556594849
5,23,,0.642209529876709,0.5470232367515564
6,27,,0.640556275844574,0.5465166568756104
7,29,0.34670770168304443,,
7,31,,0.62342369556427,0.5355775356292725
8,35,,0.6976406574249268,0.501737117767334
9,39,0.5106269121170044,,
9,39,,0.7543372511863708,0.4650624692440033
10,43,,0.7890369892120361,0.4649263322353363
11,47,,0.7614253163337708,0.47065362334251404
12,49,0.660224199295044,,
12,51,,0.6869341731071472,0.5083491802215576
13,55,,0.7344684600830078,0.4824334681034088
14,59,0.422590970993042,,
14,59,,0.7486533522605896,0.4917188882827759
15,63,,0.6733059287071228,0.47717511653900146
16,67,,0.6782858967781067,0.5169740915298462
17,69,0.27609121799468994,,
17,71,,0.6577947735786438,0.4837171137332916
18,75,,0.6633720993995667,0.47673499584198
19,79,0.3242669105529785,,
19,79,,0.7640940546989441,0.43657031655311584
20,83,,0.7399831414222717,0.46069422364234924
21,87,,0.7304704189300537,0.4493337571620941
22,89,0.5153348445892334,,
22,91,,0.749272346496582,0.45987868309020996
23,95,,0.7685171961784363,0.45727574825286865
24,99,0.40660274028778076,,
24,99,,0.7885813117027283,0.4348703622817993
25,103,,0.7185066342353821,0.4185763895511627
26,107,,0.7114364504814148,0.4244745969772339
27,109,0.28536146879196167,,
27,111,,0.630336344242096,0.523181676864624
28,115,,0.7395724654197693,0.38278043270111084
29,119,0.2891117334365845,,
29,119,,0.8104508519172668,0.4146817922592163
30,123,,0.8257157802581787,0.37632036209106445
31,127,,0.7007243037223816,0.429858922958374
32,129,0.20964431762695312,,
32,131,,0.8238155245780945,0.3952272832393646
33,135,,0.7852936387062073,0.3994331359863281
34,139,0.33045780658721924,,
34,139,,0.8052269816398621,0.3944951593875885
35,143,,0.8328635692596436,0.41382622718811035
36,147,,0.805697500705719,0.413638710975647
37,149,0.315173864364624,,
37,151,,0.7846267819404602,0.4098554849624634
38,155,,0.7732791304588318,0.3849577009677887
39,159,0.3419957756996155,,
39,159,,0.8297853469848633,0.36883559823036194
40,163,,0.860264778137207,0.3497997224330902
41,167,,0.8409226536750793,0.37870755791664124
42,169,0.2672075629234314,,
42,171,,0.8641191124916077,0.35548505187034607
43,175,,0.7291563153266907,0.3916712999343872
44,179,0.23276293277740479,,
44,179,,0.7633878588676453,0.36286798119544983
45,183,,0.7629688382148743,0.33010655641555786
46,187,,0.7200360298156738,0.3734022378921509
47,189,0.34269046783447266,,
47,191,,0.862619936466217,0.31797152757644653
48,195,,0.8673886656761169,0.30875712633132935
49,199,0.16283148527145386,,
49,199,,0.8192160129547119,0.3047151565551758
